GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000215014    1    1510355    1512455      6       2  124772       1.4406     0.074842
ENSG00000228594    1    1533392    1535476      2       1  125396      0.44205      0.32923
ENSG00000272106    1    1549138    1551175      6       3  125561      0.80751      0.20969
ENSG00000197530    1    1550795    1565990     37       8  126189       2.3084     0.010488
ENSG00000248333    1    1570603    1650919    101      18  128898       2.6803    0.0036776
ENSG00000272004    1    1590786    1594063      1       1  130263       1.5463      0.06102
ENSG00000189339    1    1590990    1624167     55      12  129019       1.8137     0.034863
ENSG00000008128    1    1634169    1655763     39       3  129895       1.9871     0.023457
ENSG00000215790    1    1656277    1677438     30       7  128233    0.0013287      0.49947
ENSG00000008130    1    1682671    1711896     69       9  129121      0.98611      0.16204
ENSG00000078369    1    1716724    1822556    147      20  127076       1.7021     0.044372
ENSG00000231050    1    1822910    1824097      2       1  130644       2.5885    0.0048193
ENSG00000169885    1    1846266    1848735     11       3  130644       1.9256     0.027078
ENSG00000178821    1    1849029    1850712      6       2  130644      0.71984      0.23581
ENSG00000142609    1    1853390    1935276    308      24  129881       3.2337   0.00061103
ENSG00000233542    1    1944652    1946969      3       1  117948     0.016253      0.49352
ENSG00000187730    1    1950737    1962197     29       7  126586       1.2548      0.10478
ENSG00000226969    1    1980642    1981509      1       1  130263      0.21727        0.414
ENSG00000067606    1    1981909    2116834    386      28  127531       2.7455    0.0030214
ENSG00000271806    1    2072523    2076718     10       4  129485       2.6081    0.0045523
ENSG00000182873    1    2113233    2115828      4       2  121834        3.161   0.00078602
ENSG00000162585    1    2115900    2144159     50      10  125802       2.7346    0.0031229
ENSG00000234396    1    2143962    2152177     20       6  130045        2.223     0.013109
ENSG00000157933    1    2160134    2241558    227      40  128777        1.572     0.057978
ENSG00000116151    1    2252692    2323146    290      33  128157      0.14987      0.44043
ENSG00000157916    1    2323214    2336883     34      10  129842       2.0142     0.021992
ENSG00000157911    1    2335403    2345236     31       9  128484       1.2207       0.1111
ENSG00000149527    1    2357419    2436969    253      32  127682       6.1678   3.4633e-10
ENSG00000224387    1    2423739    2424697      3       2  129179      0.24356      0.40378
ENSG00000229393    1    2424876    2425918      2       1  125508         1.12      0.13135
ENSG00000157881    1    2439972    2458067     40       6  128065       1.3229     0.092933
ENSG00000197921    1    2460184    2461684      3       2  126795      0.16015      0.43638
ENSG00000272449    1    2461503    2478899     54       9  123897      0.48825      0.31269
ENSG00000238164    1    2481359    2488470     12       3  120342      0.27658      0.39105
ENSG00000157873    1    2487078    2496821     22       5  125387      0.51675      0.30266
ENSG00000228037    1    2512999    2515972      7       2  129586      0.97574       0.1646
ENSG00000157870    1    2517930    2522908     10       4  127998       1.6346     0.051067
ENSG00000142606    1    2522078    2564429    147       9  127649       1.9208     0.027381
ENSG00000237058    1    2564007    2568059     14       4  128109       1.6024     0.054532
ENSG00000215912    1    2567415    2718282    112      12  126327         1.35     0.088508
ENSG00000284745    1    2877223    2885272     20       4  125877      0.26548      0.39532
ENSG00000169717    1    2938047    2939467      2       1  130644       0.4225      0.33633
ENSG00000177133    1    2976179    2985001     17       7  126019     0.090982      0.46375
ENSG00000142611    1    2985732    3355185   1376     158  128077       2.8878    0.0019398
ENSG00000272235    1    3223200    3226660     15       3  130522      0.19738      0.42177
ENSG00000130762    1    3370990    3397677     95      12  127580      0.64411      0.25975
ENSG00000162591    1    3406484    3528059    497      77  127759      -1.4963      0.93271
ENSG00000238260    1    3539754    3541307      5       2  129753      0.79124       0.2144
ENSG00000158109    1    3541566    3546691     12       4  129426     -0.75661      0.77536
ENSG00000116213    1    3547331    3569325     36       9  129505      0.85753      0.19558
ENSG00000078900    1    3569084    3652765    294      48  129667     -0.37019      0.64438
ENSG00000227589    1    3575502    3585336     33       6  130168     -0.38726      0.65072
ENSG00000235131    1    3628764    3630862      9       4  126701      -2.0687      0.98071
ENSG00000162592    1    3663024    3688209     78      15  129414     -0.11913      0.54741
ENSG00000235169    1    3689325    3692546     12       5  129964      0.87088      0.19191
ENSG00000130764    1    3695122    3713068     90      14  128998      0.86357      0.19391
ENSG00000272153    1    3701572    3702102      3       1  130644     -0.14689      0.55839
ENSG00000116198    1    3728645    3773778    286      15  129395       1.1677      0.12147
ENSG00000169598    1    3773831    3801993    165      22  129707    -0.085291      0.53399
ENSG00000198912    1    3805689    3816857     44       8  127620       1.8843     0.029764
ENSG00000236423    1    3816936    3833789     57      10  128521       2.2552     0.012061
ENSG00000233304    1    4000625    4015322    113      23  129524     -0.11512      0.54583
ENSG00000226374    1    4004607    4009040     37       6  130032      -1.6979      0.95524
ENSG00000284668    1    4036193    4072759    134      16  129981      -0.8093      0.79083
ENSG00000284703    1    4072981    4079568     33       3  130644      -0.6768      0.75073
ENSG00000235054    1    4472087    4484749     51      11  127703      0.42719      0.33462
ENSG00000284694    1    4539191    4544435     19       5  130644       1.4105     0.079196
ENSG00000232596    1    4631541    4654069    119      19  128820       1.5636     0.058953
ENSG00000196581    1    4714792    4852594    667      77  128798      0.30933      0.37853
ENSG00000284674    1    5033441    5041628     36      10  129635       2.2012     0.013863
ENSG00000231510    1    5146519    5150959     13       3  130644       1.7445     0.040539
ENSG00000284616    1    5361988    5367454     13       3  130171      0.74944       0.2268
ENSG00000284692    1    5538796    5553117     51       8  130084      0.59223      0.27685
ENSG00000260972    1    5553038    5554734      8       2  130644       1.9337     0.026578
ENSG00000236948    1    5621769    5728355    453      67  129511       2.1851     0.014439
ENSG00000131697    1    5922871    6052533    392      19  128236      -1.0033      0.84215
ENSG00000069424    1    6051526    6161253    304      43  128362      0.16117      0.43598
ENSG00000116254    1    6161853    6240183    264      28  129155     -0.13654       0.5543
ENSG00000116251    1    6241329    6269449     64      12  129693       1.1612      0.12277
ENSG00000158286    1    6265535    6281359     36       5  129358      0.67646      0.24938
ENSG00000116237    1    6281253    6296032     30       5  125741     -0.11649      0.54637
ENSG00000225077    1    6296300    6299504      5       3  129907       1.5462     0.061027
ENSG00000158292    1    6307406    6321035     35       3  128449       -1.237      0.89195
ENSG00000097021    1    6324329    6454451    406      24  128131      0.33865      0.36744
ENSG00000271746    1    6453615    6454451      2       1  130644      0.45572       0.3243
ENSG00000069812    1    6472478    6484730     40       8  129781       0.5233      0.30038
ENSG00000187017    1    6484836    6521427    105      12  129376      0.70941      0.23903
ENSG00000231868    1    6503094    6507066      6       2  130644      0.79458      0.21343
ENSG00000215788    1    6521211    6526255     13       5  130515       2.2202     0.013202
ENSG00000171680    1    6526152    6580121    136      23  129061       2.4087    0.0080057
ENSG00000162408    1    6581407    6614595     96       3  129987     -0.05471      0.52182
ENSG00000173662    1    6615241    6639817     51       8  117837        1.582     0.056826
ENSG00000204859    1    6640061    6649340     10       5  120609       3.7318   9.5059e-05
ENSG00000162413    1    6650784    6674667     45      10  125590       4.1476   1.6799e-05
ENSG00000116273    1    6673745    6684093     19       4  127012       4.0783   2.2687e-05
ENSG00000041988    1    6684926    6695646     31       6  127441       4.4542   4.2105e-06
ENSG00000007923    1    6694228    6761984    138      16  128314       5.2116   9.3591e-08
ENSG00000228750    1    6784697    6790072     14       4  128202       4.7927   8.2292e-07
ENSG00000284744    1    6828014    6830098     11       2  130644       1.8981     0.028839
ENSG00000237436    1    6843952    6844903      1       1  130644       2.4585     0.006975
ENSG00000171735    1    6845384    7829766   2671     200  127129       1.3422     0.089761
ENSG00000237365    1    7068436    7074339     31       9  127460       0.6078      0.27166
ENSG00000237728    1    7442548    7449814     26       6  125119    -0.097314      0.53876
ENSG00000270171    1    7753184    7754904      3       2  130644     -0.77629      0.78121
ENSG00000270035    1    7758363    7758932      2       1  130644     -0.86056      0.80526
ENSG00000269978    1    7760764    7761030      2       1  130644      0.11258      0.45518
ENSG00000049245    1    7831329    7841492     34       9  129100      0.74505      0.22812
ENSG00000049246    1    7844380    7905237    215      26  129256      0.32374      0.37307
ENSG00000236266    1    7870302    7887402     57      11  129644     0.094678      0.46229
ENSG00000049247    1    7903143    7913572     40      12  127982      0.33109      0.37029
ENSG00000049249    1    7975954    8003225     54       7  127928      -0.4885       0.6874
ENSG00000116288    1    8014351    8045565     59       9  128671     0.033185      0.48676
ENSG00000284747    1    8051194    8065372     23       4  127163   -0.0092398      0.50369
ENSG00000284716    1    8058247    8059994      1       1  129529     -0.44406       0.6715
ENSG00000116285    1    8064464    8086368     32       6  123871      0.48623       0.3134
ENSG00000238290    1    8086798    8182762    172      13  128410       0.7704      0.22053
ENSG00000227634    1    8262489    8275270     50      10  128463      0.84977      0.19773
ENSG00000233645    1    8278250    8280589     20       2  130644      -1.4152       0.9215
ENSG00000162426    1    8377886    8404227     79      12  128844       4.9952   2.9392e-07
ENSG00000142599    1    8412457    8877702    677      25  127309       4.8186   7.2278e-07
ENSG00000232912    1    8484705    8494898     16       4  129807       5.4591   2.3934e-08
ENSG00000074800    1    8921059    8939309     25       5  128279       1.8617     0.031326
ENSG00000230679    1    8938894    8939953      1       1  130644       1.4533      0.07307
ENSG00000131686    1    9005926    9035151    122      25  126954      -1.0064       0.8429
ENSG00000197241    1    9063359    9086404     70      19  128275     -0.01177       0.5047
ENSG00000142583    1    9095166    9148537    167      23  128541     -0.64195      0.73955
ENSG00000180758    1    9160364    9189229     69      10  128867        1.668     0.047662
ENSG00000228526    1    9208070    9258965    104      22  128600      0.65481      0.25629
ENSG00000234546    1    9242063    9256343     39       5  128057     -0.83528      0.79822
ENSG00000049239    1    9294834    9331396     98      17  128509      0.45676      0.32392
ENSG00000171621    1    9352939    9429591    324      48  127913      0.92659      0.17707
ENSG00000284652    1    9481157    9482921      6       2  130544     -0.56484      0.71391
ENSG00000284693    1    9485153    9500623     81       9  130358      -1.2398      0.89248
ENSG00000235263    1    9561151    9563530      8       3  130627     -0.91624      0.82023
ENSG00000171612    1    9599541    9645237     59       9  126789     -0.25809      0.60183
ENSG00000188807    1    9648980    9674931     36       6  127133     -0.83655      0.79858
ENSG00000171608    1    9711790    9789172    131      26  127848      0.58292      0.27997
ENSG00000179840    1    9712668    9714644      4       1  130644      0.84412       0.1993
ENSG00000231789    1    9732484    9747613     38       7  128756      0.11592      0.45386
ENSG00000171603    1    9789084    9884584    119      14  126857    -0.023345      0.50931
ENSG00000178585    1    9908334    9970394     66      11  125247      -1.1035       0.8651
ENSG00000223989    1    9908376    9910212      2       1  130644    -0.077291       0.5308
ENSG00000162441    1    9982171   10003465     41       8  126277     -0.66884       0.7482
ENSG00000173614    1   10003486   10045559     74      11  127955     0.079803       0.4682
ENSG00000162444    1   10057264   10076078     36       4  128338      0.59165      0.27704
ENSG00000130939    1   10092890   10241297    289      16  125121      0.27853       0.3903
ENSG00000054523    1   10270863   10441661    524      16  127501       1.5022     0.066517
ENSG00000284735    1   10441964   10447207     19       5  129155       2.1013     0.017805
ENSG00000284642    1   10455473   10457489      3       2  119022      0.41418      0.33937
ENSG00000142657    1   10458649   10480201     51       8  126675       1.3378     0.090484
ENSG00000271989    1   10489938   10490734      6       2  126811      0.77563      0.21898
ENSG00000251503    1   10490159   10512210     51       7  127946    -0.046463      0.51853
ENSG00000160049    1   10516579   10532583     14       3  130466      0.84665       0.1986
ENSG00000203469    1   10518612   10519395      1       1  130644      0.24275       0.4041
ENSG00000142655    1   10532345   10690815    360      28  127412     -0.44428      0.67158
ENSG00000130940    1   10696661   10856707    439      81  125293      0.58229      0.28019
ENSG00000272078    1   10699298   10714390     41       9  127509     -0.31923      0.62522
ENSG00000175262    1   11006528   11042094    123      16  129251     -0.81832      0.79341
ENSG00000120948    1   11072401   11086477     24       4  127860       2.7054    0.0034113
ENSG00000277726    1   11072719   11090585     27       3  128170       2.6872    0.0036023
ENSG00000009724    1   11086580   11107290     55       8  126932       1.7285     0.041953
ENSG00000116649    1   11114641   11120081      7       2  129035      0.85673       0.1958
ENSG00000171824    1   11126675   11159938     92       6  127241   -0.0016168      0.50065
ENSG00000226849    1   11128528   11133154     14       1  130644     -0.28425      0.61189
ENSG00000230337    1   11159732   11162157      7       2  129724     -0.13744      0.55466
ENSG00000198793    1   11166592   11322564    323      10  128199     0.032671      0.48697
ENSG00000225602    1   11203955   11209594      8       4  122265    -0.075899      0.53025
ENSG00000171819    1   11249398   11256038     14       2  125970      0.85548      0.19614
ENSG00000120942    1   11333263   11356106     37       6  122650      0.49897       0.3089
ENSG00000284646    1   11371791   11379150     19       6  128745      0.41955      0.33741
ENSG00000204624    1   11539223   11597641    146      14  128613       3.0523    0.0011355
ENSG00000235643    1   11669588   11673412     14       2  130644     -0.82002       0.7939
ENSG00000284708    1   11683615   11703473     58      10  126916     -0.64895      0.74181
ENSG00000116661    1   11697075   11715842     52      17  125299     -0.25179       0.5994
ENSG00000132879    1   11714432   11723384     23       7  130233       1.6305     0.051502
ENSG00000116663    1   11724181   11734411     29       8  129171     0.038861       0.4845
ENSG00000116670    1   11734537   11751707     66      13  128076      0.43937       0.3302
ENSG00000162490    1   11751786   11785914     96      19  128945       2.1337     0.016433
ENSG00000177674    1   11796141   11814859     56       9  128865      0.81561      0.20736
ENSG00000215910    1   11821844   11849642    150      11  130460       1.3383     0.090405
ENSG00000177553    1   11837134   11839676     24       3  130644      0.91482      0.18014
ENSG00000177000    1   11845780   11866977     78      11  130562      0.96119      0.16823
ENSG00000011021    1   11866153   11903201    185      14  130251      0.88811      0.18724
ENSG00000242349    1   11901074   11908136     29       6  129787      0.28204      0.38896
ENSG00000175206    1   11905766   11908402     12       4  130644      0.64849      0.25833
ENSG00000116685    1   11979648   11986485     21       6  127891      0.84777      0.19828
ENSG00000083444    1   11994262   12035595    114      12  125658      0.48512       0.3138
ENSG00000116688    1   12040238   12073571     74       8  128539      0.33769       0.3678
ENSG00000116691    1   12079523   12092102     22       5  129715      0.30272      0.38105
ENSG00000120949    1   12123434   12204264    209      41  128842       2.2839     0.011188
ENSG00000028137    1   12227060   12269285    123      16  129557     -0.88796      0.81272
ENSG00000048707    1   12290089   12572099    363      32  126074      0.76229      0.22294
ENSG00000229484    1   12587766   12588462      3       2  127291     -0.93603      0.82537
ENSG00000162496    1   12627939   12677737    168      31  129905      -1.6291      0.94836
ENSG00000204518    1   12704566   12727097     56       6  128318      0.62865      0.26479
ENSG00000188984    1   12776118   12788726     43       6  129679       1.6956     0.044985
ENSG00000157330    1   12806163   12823847     53      11  126188       1.8344     0.033298
ENSG00000116726    1   12834984   12838049      6       2  128849       1.4212     0.077635
ENSG00000239810    1   12884463   12891264     12       3  130644      -1.9672      0.97542
ENSG00000179172    1   12907261   12908578      3       1  130644      0.13246      0.44731
ENSG00000162494    1   13801445   13840543    169      35  129345       1.7473      0.04029
ENSG00000259961    1   13839715   13842765     19       5  122940      0.21312      0.41562
ENSG00000162493    1   13909960   13944452     98      23  130299       1.4056     0.079918
ENSG00000237445    1   13983806   13986405      2       1  130644     -0.95439      0.83006
ENSG00000116731    1   14026693   14151574    362      26  127548       1.3677      0.08571
ENSG00000189337    1   14219287   15444539   4437     333  128706       2.5355    0.0056149
ENSG00000231606    1   14548386   14549613      2       1  130644      0.30481      0.38026
ENSG00000234593    1   14675450   14718071    162      37  127951    -0.037527      0.51497
ENSG00000175147    1   15438311   15478960    180      19  129738     -0.43862      0.66953
ENSG00000171729    1   15479028   15546976    350      26  129765      -1.3749      0.91542
ENSG00000204464    1   15490840   15497813     26       7  130492     -0.78026      0.78238
ENSG00000142621    1   15573768   15726779    467      57  124403       1.0352      0.15028
ENSG00000233485    1   15653176   15670372     40       8  117807     -0.88494       0.8119
ENSG00000228140    1   15729475   15735929     19       5  130587      0.60151      0.27375
ENSG00000142634    1   15736391   15756839     60      17  125579       1.2665      0.10267
ENSG00000162438    1   15764935   15775737     21       7  127487       0.4805      0.31544
ENSG00000142615    1   15783223   15798586     56       8  129515       -2.084      0.98142
ENSG00000215704    1   15792404   15817895     75      12  128785      0.44064      0.32974
ENSG00000132906    1   15817327   15853029    121       8  129288      0.57333      0.28321
ENSG00000116138    1   15853308   15918874    194      13  129054      0.36016      0.35936
ENSG00000272510    1   15892106   15892451      1       1  130644     -0.37589       0.6465
ENSG00000116771    1   15898848   15911605     47       6  128543      0.45396      0.32493
ENSG00000237301    1   15912631   15930121     91       6  129388      0.93214      0.17563
ENSG00000197312    1   15943995   15995539    106       6  129270      0.89944      0.18421
ENSG00000116786    1   16010827   16061264    142      12  128871      0.83884      0.20078
ENSG00000237938    1   16046807   16063391     34       7  126998       1.4093      0.07937
ENSG00000162461    1   16062900   16067891      6       3  129916       1.0487      0.14716
ENSG00000224459    1   16066546   16076391     25       6  130233     -0.44106      0.67042
ENSG00000162460    1   16068917   16074477     11       3  130137     -0.29523      0.61609
ENSG00000162458    1   16083102   16113089     63      10  130010     0.031248      0.48754
ENSG00000233954    1   16133664   16135843      9       2  129787     -0.83538      0.79825
ENSG00000179743    1   16160969   16174642     38       7  130373     -0.35083      0.63714
ENSG00000065526    1   16174359   16266955    136      16  130108      0.46176      0.32213
ENSG00000116809    1   16268364   16302627     49      11  128758     -0.41811      0.66207
ENSG00000183888    1   16330731   16335302     15       5  128269     0.089829      0.46421
ENSG00000173641    1   16340523   16346089     44       5  130638    -0.073123      0.52915
ENSG00000186510    1   16345370   16360545     80      12  129797     -0.37268      0.64531
ENSG00000184908    1   16370231   16383803    102      12  130431    -0.081667      0.53254
ENSG00000185519    1   16384264   16400127     51       6  130488      0.12858      0.44885
ENSG00000142627    1   16450832   16482582     56      12  128615     0.012977      0.49482
ENSG00000227959    1   16481706   16483824      1       1  130644      -2.4471       0.9928
ENSG00000224621    1   16485761   16488378      6       2  130644       1.7605      0.03916
ENSG00000142632    1   16524349   16539104     45       5  128675      0.65263        0.257
ENSG00000132881    1   16558195   16563657     14       5  124276      0.57569      0.28241
ENSG00000037637    1   16573334   16678949    218      13  128474       1.3801     0.083779
ENSG00000055070    1   16679070   16724640     95      11  128410      0.77325      0.21969
ENSG00000187144    1   16713612   16763919    125      20  128534      0.48856      0.31258
ENSG00000157191    1   16767167   16786573     40       9  129938       1.6758      0.04689
ENSG00000226029    1   16787443   16794976     26       5  129643       1.2287       0.1096
ENSG00000224174    1   16847189   16848291     11       4  127415      0.66495      0.25304
ENSG00000233421    1   16860381   16862667      1       1  130644       1.0052       0.1574
ENSG00000219481    1   16888814   16940057      5       3  130550     0.016173      0.49355
ENSG00000279151    1   17028041   17032089      1       1  130644       2.3644      0.00903
ENSG00000058453    1   17066768   17299474    194      24  128868       1.2257      0.11016
ENSG00000238142    1   17215033   17216144      4       1  117422       1.3232     0.092884
ENSG00000117122    1   17300997   17307330     14       4  129533        1.761     0.039117
ENSG00000226526    1   17305421   17331586     62      11  129029       1.5314      0.06284
ENSG00000159363    1   17312453   17338423     51      10  128152       1.1011      0.13543
ENSG00000117118    1   17345217   17380665    118      12  129467       1.8036     0.035651
ENSG00000117115    1   17393256   17445930    242      16  129510       1.7848     0.037146
ENSG00000204362    1   17516278   17524112     43       5  125354      0.31212      0.37748
ENSG00000142623    1   17531621   17572500    163      42  129734       1.4754     0.070052
ENSG00000142619    1   17575593   17610728    164      23  129426     0.042444      0.48307
ENSG00000159339    1   17634690   17690499    275      24  128391    -0.025249      0.51007
ENSG00000276747    1   17698691   17728195    161      16  128418       1.3418     0.089825
ENSG00000227751    1   17733256   17733878      2       1  130644      0.87881      0.18975
ENSG00000179051    1   17733256   17766220     69      10  128071      0.92866      0.17653
ENSG00000074964    1   17866330   18024369    397      45  128359      0.39898      0.34495
ENSG00000236648    1   18044182   18076473     70      12  124824      0.68029      0.24816
ENSG00000117148    1   18081808   18153558    208      24  127982     -0.76499      0.77786
ENSG00000284653    1   18342206   18372106    128      14  128968       1.0771      0.14073
ENSG00000261781    1   18392151   18400906     29       7  129266      0.86015      0.19485
ENSG00000117154    1   18434240   18704977    974     122  128782       2.1993     0.013928
ENSG00000230035    1   18493423   18505840     57      12  130084       1.7732     0.038101
ENSG00000225387    1   18712323   18715008      5       2  130644     -0.34163      0.63369
ENSG00000179023    1   18807476   18812620     26       6  130616       1.3634     0.086378
ENSG00000009709    1   18957500   19075360    349      59  127472       1.7952     0.036314
ENSG00000179002    1   19166093   19186176     97      18  128333      -1.6539      0.95093
ENSG00000255275    1   19175767   19247615    324      37  129255      -2.2105      0.98647
ENSG00000169991    1   19230775   19283180    155      28  128539     0.083938      0.46655
ENSG00000127481    1   19401000   19536770    249      21  128518    -0.089336      0.53559
ENSG00000230424    1   19536995   19567198     74      10  129330      0.53307      0.29699
ENSG00000127463    1   19542158   19578046    101      12  129220      0.35435      0.36154
ENSG00000053372    1   19578033   19586622     51       8  130362    -0.073321      0.52922
ENSG00000162482    1   19609052   19615744     25       4  130644       1.1651      0.12199
ENSG00000053371    1   19630459   19638640     25       9  130120        1.537     0.062149
ENSG00000040487    1   19638820   19655794     76      11  130311       1.9316     0.026703
ENSG00000077549    1   19665270   19812033    507      21  129725       1.7601     0.039196
ENSG00000235185    1   19918296   19923326     12       4  130087       1.4359      0.07552
ENSG00000158747    1   19923473   19984949    167      27  127890       1.0294      0.15166
ENSG00000158748    1   19991780   20006055     39       7  116800       1.3029     0.096297
ENSG00000162542    1   20008706   20126438    401      49  126040      -1.1156       0.8677
ENSG00000235434    1   20140860   20145995     41       9  129735      -1.6295      0.94839
ENSG00000169914    1   20209006   20239438     71      13  130086      -1.5066      0.93404
ENSG00000188784    1   20246502   20250110     16       5  127578        1.019      0.15411
ENSG00000188257    1   20301924   20306909     13       5  129898     -0.03957      0.51578
ENSG00000127472    1   20354672   20417683    201      23  128903      -1.4652      0.92857
ENSG00000117215    1   20438432   20446059     24       9  129065     -0.55942      0.71206
ENSG00000158786    1   20465819   20476879     24      11  126909       1.9703     0.024401
ENSG00000227066    1   20480831   20487061     10       4  130252      0.48945      0.31226
ENSG00000187980    1   20487746   20503917     51      11  127919       1.3394     0.090212
ENSG00000225986    1   20510735   20512979      5       2  129130      0.48115      0.31521
ENSG00000162543    1   20512578   20522541      9       3  129789     -0.21092      0.58353
ENSG00000284710    1   20598511   20601498      8       3  130644       1.2741      0.10131
ENSG00000158816    1   20617412   20681387    236      28  129053       2.3779    0.0087053
ENSG00000226664    1   20620704   20649680    117      21  129543       2.2856     0.011138
ENSG00000236963    1   20687072   20757727    164      22  129208       1.9531     0.025402
ENSG00000284641    1   20802715   20805430      5       3  123655     -0.32419       0.6271
ENSG00000284743    1   20805272   20806890      1       1  101236       -0.134       0.5533
ENSG00000162545    1   20808884   20812713      4       2  118977       1.6349     0.051038
ENSG00000090432    1   20825941   20834654     24       8  129192       1.5386     0.061957
ENSG00000183114    1   20878932   20881503      3       1  130644       2.1552     0.015574
ENSG00000158825    1   20915441   20945401    114      17  130261     -0.65521      0.74383
ENSG00000158828    1   20959948   20978004     69       9  130053      0.11918      0.45257
ENSG00000117242    1   20969150   20978686     46       8  130312      0.32091      0.37414
ENSG00000244038    1   20978260   20988037     25       5  130247       -1.414      0.92132
ENSG00000117245    1   20990507   21044510    203      43  129656       1.6082       0.0539
ENSG00000189410    1   21046225   21059330     36       9  126109       2.5011     0.006191
ENSG00000233069    1   21059373   21060445      5       3  130082       2.9796    0.0014433
ENSG00000127483    1   21069154   21113816     92      15  124792       2.9666    0.0015055
ENSG00000075151    1   21132785   21503381    669      24  126237       2.8192    0.0024075
ENSG00000117298    1   21543740   21671997    334      34  129274       2.8411    0.0022482
ENSG00000236936    1   21592575   21593744      1       1  130644       2.2718      0.01155
ENSG00000231105    1   21619783   21626267     10       4  129407       1.5427      0.06145
ENSG00000236009    1   21742391   21743985     16       3  123175      0.26147      0.39686
ENSG00000142794    1   21766621   21811498    130      12  129601     -0.57435      0.71714
ENSG00000162551    1   21835865   21904905    292      26  129451      -1.4068      0.92026
ENSG00000233431    1   21912965   21917680     21       7  130591     -0.16278      0.56466
ENSG00000076864    1   21922708   21995856    256      34  128931      0.35011      0.36313
ENSG00000090686    1   22004791   22110099    332      28  126911       2.6454    0.0040792
ENSG00000187942    1   22138758   22151714     40      15  130476     0.049532      0.48025
