"Ontology"	"DEGs_set"	"ID"	"Description"	"Count"	"GeneRatio"	"BgRatio"	"FoldEnrichment"	"pvalue"	"p.adjust"	"geneID"
"BP"	"Unique in Hb - Up"	"GO:0035150"	"regulation of tube size"	12	"12/179"	"205/18913"	6.1849298269519	6.06716132796494e-07	0.000153124716733307	"Agtr2, Adora1, Atp2b1, Chrm3, Cacna1g, Rock1, Cacna1c, Adra2b, Adra1b, Irag1, Cx3cl1, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0006874"	"intracellular calcium ion homeostasis"	15	"15/179"	"333/18913"	4.75942422869797	6.79806529810634e-07	0.000153124716733307	"Grm1, Trpc3, Adora1, Atp2b1, Bcl2, Atp13a5, Inpp4b, Slc25a27, Cacna1c, Grid2ip, Adcy8, Tspoap1, Cacnb2, Cx3cl1, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0060384"	"innervation"	6	"6/179"	"34/18913"	18.6457443312521	7.13228705672872e-07	0.000153124716733307	"Slitrk6, Col25a1, Unc13a, Prkcg, Adarb1, Gabrb2"
"BP"	"Unique in Hb - Up"	"GO:0051952"	"regulation of amine transport"	9	"9/179"	"116/18913"	8.19769793874013	1.59295697344601e-06	0.000310889630853598	"Grik1, Grm1, Agtr2, Rgs4, Adora1, Grm7, Pcp4, Ptger3, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0055074"	"calcium ion homeostasis"	15	"15/179"	"359/18913"	4.41473055196776	1.73679980771425e-06	0.000310889630853598	"Grm1, Trpc3, Adora1, Atp2b1, Bcl2, Atp13a5, Inpp4b, Slc25a27, Cacna1c, Grid2ip, Adcy8, Tspoap1, Cacnb2, Cx3cl1, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0003018"	"vascular process in circulatory system"	13	"13/179"	"269/18913"	5.10620755539864	1.78224080747315e-06	0.000310889630853598	"Agtr2, Adora1, Atp2b1, Chrm3, Cacna1g, Rock1, Cacna1c, Adra2b, Capn1, Adra1b, Irag1, Cx3cl1, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0051953"	"negative regulation of amine transport"	6	"6/179"	"40/18913"	15.8488826815642	1.94198202361423e-06	0.000318827754582783	"Agtr2, Rgs4, Adora1, Grm7, Ptger3, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0070588"	"calcium ion transmembrane transport"	15	"15/179"	"371/18913"	4.27193603276664	2.60270011632194e-06	0.00038782129095872	"Cacna1i, Rapgef3, Trpc3, Trpm6, Atp2b1, Bcl2, Cacna1g, Grm7, Cacna1c, Cacna2d3, Tspoap1, Cacnb2, Cx3cl1, Ptger3, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0048813"	"dendrite morphogenesis"	11	"11/179"	"196/18913"	5.92985406453084	2.72426474895961e-06	0.00038782129095872	"Cit, Farp1, Il1rapl1, Prex2, Dbn1, Cdkl5, Dpysl5, Shank3, Arhgap44, Hecw1, Kalrn"
"BP"	"Unique in Hb - Up"	"GO:0042310"	"vasoconstriction"	9	"9/179"	"124/18913"	7.66881420075689	2.77908485101197e-06	0.00038782129095872	"Adora1, Atp2b1, Chrm3, Cacna1g, Cacna1c, Adra2b, Adra1b, Cx3cl1, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0030534"	"adult behavior"	11	"11/179"	"200/18913"	5.81125698324022	3.31223409352988e-06	0.000390447488283951	"Kcnj10, Grik1, Scn1a, Slitrk6, Prex2, Grm7, Shank3, Cacna1c, Kalrn, Adra1b, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0099173"	"postsynapse organization"	14	"14/179"	"331/18913"	4.46896994042094	3.38098882895201e-06	0.000390447488283951	"Cit, Zfp804a, Farp1, Sorbs1, Il1rapl1, Adgrb1, Dbn1, Cdkl5, Il1rap, Shank3, Elmo1, Arhgap44, Kalrn, Syndig1"
"BP"	"Unique in Hb - Up"	"GO:0030048"	"actin filament-based movement"	9	"9/179"	"127/18913"	7.48766110940043	3.38784564668383e-06	0.000390447488283951	"Scn1a, Adora1, Dbn1, Cacna1g, Rock1, Cacna1c, Myo1b, Cacnb2, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0015837"	"amine transport"	9	"9/179"	"128/18913"	7.42916375698324	3.6147208905442e-06	0.000390447488283951	"Grik1, Grm1, Agtr2, Rgs4, Adora1, Grm7, Pcp4, Ptger3, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0035249"	"synaptic transmission, glutamatergic"	9	"9/179"	"128/18913"	7.42916375698324	3.6147208905442e-06	0.000390447488283951	"Grik1, Grm1, Gria4, Adora1, Grm7, Unc13a, Shank3, Grm4, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:1903522"	"regulation of blood circulation"	13	"13/179"	"287/18913"	4.78595760418897	3.6372750610472e-06	0.000390447488283951	"Agtr2, Rgs4, Shox2, Adora1, Atp2b1, Chrm3, Cacna1g, Cacna1c, Adra2b, Adra1b, Cacnb2, Cx3cl1, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0048742"	"regulation of skeletal muscle fiber development"	4	"4/179"	"13/18913"	32.5105285775677	5.18973908507693e-06	0.000536465251349989	"Hdac5, Shox2, Bcl2, Hdac9"
"BP"	"Unique in Hb - Up"	"GO:0070252"	"actin-mediated cell contraction"	8	"8/179"	"104/18913"	8.12763214439192	6.54272326619897e-06	0.00065216930842719	"Scn1a, Adora1, Dbn1, Cacna1g, Rock1, Cacna1c, Cacnb2, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0032970"	"regulation of actin filament-based process"	15	"15/179"	"414/18913"	3.8282325317788	9.76688598278678e-06	0.000899731420576644	"Cit, Arap2, Rapgef3, Rgs4, Adora1, Dbn1, Shank3, Rock1, Cacna1c, Arhgap44, Prkcd, Capn1, Synpo2, Cx3cl1, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0032891"	"negative regulation of organic acid transport"	5	"5/179"	"31/18913"	17.0418093350153	9.99343390823216e-06	0.000899731420576644	"Agtr2, Rgs4, Adora1, Grm7, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0086010"	"membrane depolarization during action potential"	5	"5/179"	"31/18913"	17.0418093350153	9.99343390823216e-06	0.000899731420576644	"Cacna1i, Scn1a, Cacna1g, Cacna1c, Cacnb2"
"BP"	"Unique in Hb - Up"	"GO:0060402"	"calcium ion transport into cytosol"	5	"5/179"	"32/18913"	16.5092527932961	1.17536672221043e-05	0.000980940049458241	"Cacna1i, Trpc3, Bcl2, Cacna1g, Cacna1c"
"BP"	"Unique in Hb - Up"	"GO:0003012"	"muscle system process"	16	"16/179"	"474/18913"	3.56655587770785	1.18396232289254e-05	0.000980940049458241	"Scn1a, Agtr2, Rgs4, Trpc3, Adora1, Atp2b1, Chrm3, Dbn1, Cacna1g, Rock1, Cacna1c, Adra2b, Adra1b, Irag1, Cacnb2, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0051899"	"membrane depolarization"	8	"8/179"	"113/18913"	7.48029861076779	1.20928227041651e-05	0.000980940049458241	"Cacna1i, Kcnq3, Grik1, Grm1, Scn1a, Cacna1g, Cacna1c, Cacnb2"
"BP"	"Unique in Hb - Up"	"GO:0051965"	"positive regulation of synapse assembly"	7	"7/179"	"82/18913"	9.01968933097152	1.26484492357231e-05	0.000980940049458241	"Slitrk6, Il1rapl1, Adgrb1, Lrrn1, Il1rap, Lingo2, Syndig1"
"BP"	"Unique in Hb - Up"	"GO:0006813"	"potassium ion transport"	12	"12/179"	"275/18913"	4.61058405281869	1.26527559227863e-05	0.000980940049458241	"Kcnj10, Kcnq3, Rapgef3, Grik1, Rgs7, Kcnj14, Rgs4, Adora1, Kcnip4, Kcna4, Kcnk4, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0006865"	"amino acid transport"	10	"10/179"	"189/18913"	5.5904348083119	1.31071782841551e-05	0.000988706340299379	"Kcnj10, Grik1, Grm1, Rgs4, Adora1, Grm7, Prkcd, Grm4, Cacnb4, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0002027"	"regulation of heart rate"	8	"8/179"	"115/18913"	7.3502064610153	1.37554585857628e-05	0.00101030223454905	"Agtr2, Rgs4, Shox2, Chrm3, Cacna1g, Cacna1c, Adra1b, Cacnb2"
"BP"	"Unique in Hb - Up"	"GO:0006816"	"calcium ion transport"	16	"16/179"	"482/18913"	3.50735992953012	1.45545438323501e-05	0.00104158286759203	"Cacna1i, Rapgef3, Rgs4, Trpc3, Trpm6, Atp2b1, Bcl2, Cacna1g, Grm7, Cacna1c, Cacna2d3, Tspoap1, Cacnb2, Cx3cl1, Ptger3, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0090257"	"regulation of muscle system process"	12	"12/179"	"282/18913"	4.49613693094021	1.62556629128827e-05	0.00113054373797386	"Rgs4, Trpc3, Adora1, Atp2b1, Chrm3, Dbn1, Rock1, Cacna1c, Adra2b, Adra1b, Irag1, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0006835"	"dicarboxylic acid transport"	8	"8/179"	"118/18913"	7.16333680522678	1.6607772575037e-05	0.00113054373797386	"Kcnj10, Grik1, Grm1, Adora1, Abcc5, Grm7, Prkcd, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0071805"	"potassium ion transmembrane transport"	11	"11/179"	"239/18913"	4.86297655501274	1.79159445517612e-05	0.00119055717247537	"Kcnj10, Kcnq3, Rapgef3, Grik1, Rgs7, Kcnj14, Rgs4, Kcnip4, Kcna4, Kcnk4, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0099175"	"regulation of postsynapse organization"	10	"10/179"	"198/18913"	5.33632413520682	1.96189231424755e-05	0.00127340498815463	"Zfp804a, Il1rapl1, Dbn1, Cdkl5, Il1rap, Shank3, Elmo1, Arhgap44, Kalrn, Syndig1"
"BP"	"Unique in Hb - Up"	"GO:0051966"	"regulation of synaptic transmission, glutamatergic"	7	"7/179"	"89/18913"	8.31027556336702	2.16850570661546e-05	0.00137552259708267	"Grik1, Grm1, Gria4, Adora1, Grm7, Shank3, Grm4"
"BP"	"Unique in Hb - Up"	"GO:0051955"	"regulation of amino acid transport"	6	"6/179"	"61/18913"	10.3927099551241	2.38327174462578e-05	0.00147815809761124	"Grik1, Grm1, Rgs4, Adora1, Grm7, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0051962"	"positive regulation of nervous system development"	14	"14/179"	"397/18913"	3.72601775889	2.62999215221229e-05	0.00159571915148359	"Shox2, Slitrk6, Il1rapl1, Adgrb1, Rnf112, Dbn1, Cdkl5, Lrrn1, Il1rap, Shank3, Lingo2, Kalrn, Syndig1, Cx3cl1"
"BP"	"Unique in Hb - Up"	"GO:0019229"	"regulation of vasoconstriction"	7	"7/179"	"97/18913"	7.62489201174912	3.79442103940129e-05	0.00223669783633086	"Atp2b1, Chrm3, Cacna1c, Adra2b, Adra1b, Cx3cl1, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0014051"	"gamma-aminobutyric acid secretion"	4	"4/179"	"21/18913"	20.1255653099229	4.09422528614507e-05	0.00223669783633086	"Grik1, Grm4, Cacnb4, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0051956"	"negative regulation of amino acid transport"	4	"4/179"	"21/18913"	20.1255653099229	4.09422528614507e-05	0.00223669783633086	"Rgs4, Adora1, Grm7, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0061548"	"ganglion development"	4	"4/179"	"21/18913"	20.1255653099229	4.09422528614507e-05	0.00223669783633086	"Kcnq3, Rapgef3, Rgs4, Unc5c"
"BP"	"Unique in Hb - Up"	"GO:1901890"	"positive regulation of cell junction assembly"	8	"8/179"	"134/18913"	6.30801300758776	4.16136214665435e-05	0.00223669783633086	"Slitrk6, Il1rapl1, Adgrb1, Lrrn1, Il1rap, Rock1, Lingo2, Syndig1"
"BP"	"Unique in Hb - Up"	"GO:0007188"	"adenylate cyclase-modulating G protein-coupled receptor signaling pathway"	11	"11/179"	"262/18913"	4.4360740330078	4.16726218162683e-05	0.00223669783633086	"Grm1, Adora1, Chrm3, Adgrb1, Grm7, Adra2b, Adcy8, Adra1b, Grm4, Ptger3, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0007416"	"synapse assembly"	12	"12/179"	"313/18913"	4.05083263426562	4.51779237699377e-05	0.00236857391173736	"Farp1, Slitrk6, Il1rapl1, Gabra4, Adgrb1, Lrrn1, Il1rap, Shank3, Elmo1, Lingo2, Syndig1, Gabrb2"
"BP"	"Unique in Hb - Up"	"GO:0032890"	"regulation of organic acid transport"	7	"7/179"	"100/18913"	7.39614525139665	4.61707822002675e-05	0.00236857391173736	"Grik1, Grm1, Agtr2, Rgs4, Adora1, Grm7, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0006937"	"regulation of muscle contraction"	9	"9/179"	"176/18913"	5.4030281868969	4.66755876551611e-05	0.00236857391173736	"Adora1, Atp2b1, Chrm3, Dbn1, Cacna1c, Adra2b, Adra1b, Irag1, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0099174"	"regulation of presynapse organization"	5	"5/179"	"43/18913"	12.2859555671041	5.16474459179033e-05	0.00256707835068232	"Farp1, Slitrk6, Il1rapl1, Il1rap, Cacna2d3"
"BP"	"Unique in Hb - Up"	"GO:0048814"	"regulation of dendrite morphogenesis"	7	"7/179"	"102/18913"	7.25112279548691	5.24268957323153e-05	0.00256707835068232	"Cit, Il1rapl1, Dbn1, Cdkl5, Dpysl5, Hecw1, Kalrn"
"BP"	"Unique in Hb - Up"	"GO:0034765"	"regulation of monoatomic ion transmembrane transport"	14	"14/179"	"424/18913"	3.48874776009276	5.37542894586109e-05	0.00258669348067212	"Kcnj10, Rapgef3, Rgs7, Kcnj14, Rgs4, Trpc3, Kcnip4, Bcl2, Shank3, Cacna1c, Cacnb2, Cx3cl1, Ptger3, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0052652"	"cyclic purine nucleotide metabolic process"	5	"5/179"	"44/18913"	12.0067293042153	5.78251709509093e-05	0.00273542461227098	"Rora, Adcy8, Ptger3, Cacnb4, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0046058"	"cAMP metabolic process"	4	"4/179"	"23/18913"	18.3755161525383	5.96859446015733e-05	0.00277639118971652	"Adcy8, Ptger3, Cacnb4, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0009187"	"cyclic nucleotide metabolic process"	5	"5/179"	"45/18913"	11.739913097455	6.45580039808127e-05	0.00290615143726529	"Rora, Adcy8, Ptger3, Cacnb4, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0048741"	"skeletal muscle fiber development"	5	"5/179"	"45/18913"	11.739913097455	6.45580039808127e-05	0.00290615143726529	"Hdac5, Shox2, Bcl2, Myorg, Hdac9"
"BP"	"Unique in Hb - Up"	"GO:0051932"	"synaptic transmission, GABAergic"	6	"6/179"	"74/18913"	8.56696361165635	7.18346369280506e-05	0.00318238843914586	"Grik1, Grm1, Adora1, Gabra4, Grm4, Gabrb2"
"BP"	"Unique in Hb - Up"	"GO:0050805"	"negative regulation of synaptic transmission"	6	"6/179"	"75/18913"	8.4527374301676	7.74740786125367e-05	0.00337859614699359	"Grik1, Adora1, Shank3, Grid2ip, Adcy8, Grm4"
"BP"	"Unique in Hb - Up"	"GO:0001508"	"action potential"	9	"9/179"	"189/18913"	5.03139132748071	8.0987983336615e-05	0.00347749940757681	"Cacna1i, Kcnq3, Scn1a, Cacna1g, Cacna1c, Kcna4, Cacnb2, Kcnk4, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0006936"	"muscle contraction"	12	"12/179"	"334/18913"	3.79613956444653	8.41019103405243e-05	0.00355649139030914	"Scn1a, Adora1, Atp2b1, Chrm3, Dbn1, Cacna1g, Cacna1c, Adra2b, Adra1b, Irag1, Cacnb2, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0099505"	"regulation of presynaptic membrane potential"	5	"5/179"	"48/18913"	11.0061685288641	8.84282871196334e-05	0.00368363207986413	"Grik1, Scn1a, Gria4, Kcna4, Gabrb2"
"BP"	"Unique in Hb - Up"	"GO:0099545"	"trans-synaptic signaling by trans-synaptic complex"	3	"3/179"	"10/18913"	31.6977653631285	9.5268041392455e-05	0.00391019269891679	"Farp1, Il1rapl1, Il1rap"
"BP"	"Unique in Hb - Up"	"GO:0019226"	"transmission of nerve impulse"	7	"7/179"	"113/18913"	6.54526128442181	0.000100494526522792	0.00406493077572626	"Cacna1i, Kcnq3, Scn1a, Cacna1g, Grm7, Kcnk4, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0014904"	"myotube cell development"	5	"5/179"	"50/18913"	10.5659217877095	0.000107760400190581	0.00429656109902732	"Hdac5, Shox2, Bcl2, Myorg, Hdac9"
"BP"	"Unique in Hb - Up"	"GO:0008344"	"adult locomotory behavior"	7	"7/179"	"115/18913"	6.43143065338839	0.000112218294635862	0.00441128535674214	"Kcnj10, Scn1a, Slitrk6, Prex2, Cacna1c, Kalrn, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0060047"	"heart contraction"	10	"10/179"	"244/18913"	4.33029581463504	0.00011405331516208	0.00442115003635229	"Scn1a, Agtr2, Rgs4, Shox2, Adora1, Chrm3, Cacna1g, Cacna1c, Adra1b, Cacnb2"
"BP"	"Unique in Hb - Up"	"GO:0086016"	"AV node cell action potential"	3	"3/179"	"11/18913"	28.8161503301168	0.000130081910367979	0.00490619745725716	"Cacna1g, Cacna1c, Cacnb2"
"BP"	"Unique in Hb - Up"	"GO:0086027"	"AV node cell to bundle of His cell signaling"	3	"3/179"	"11/18913"	28.8161503301168	0.000130081910367979	0.00490619745725716	"Cacna1g, Cacna1c, Cacnb2"
"BP"	"Unique in Hb - Up"	"GO:0007193"	"adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway"	6	"6/179"	"83/18913"	7.63801575015144	0.000136439555451306	0.00507737065686128	"Grm1, Adora1, Chrm3, Grm7, Grm4, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0007204"	"positive regulation of cytosolic calcium ion concentration"	9	"9/179"	"203/18913"	4.68439882213722	0.000139515937678539	0.00512353923764215	"Cacna1i, Trpc3, Bcl2, Cacna1g, Cacna1c, Adcy8, Adra1b, Ptger3, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0014048"	"regulation of glutamate secretion"	4	"4/179"	"29/18913"	14.5736852244269	0.000153149215291067	0.00541062607439705	"Grm1, Adora1, Grm7, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0015812"	"gamma-aminobutyric acid transport"	4	"4/179"	"29/18913"	14.5736852244269	0.000153149215291067	0.00541062607439705	"Grik1, Grm4, Cacnb4, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0046856"	"phosphatidylinositol dephosphorylation"	4	"4/179"	"29/18913"	14.5736852244269	0.000153149215291067	0.00541062607439705	"Inpp5b, Inpp5j, Inpp4b, Inpp5a"
"BP"	"Unique in Hb - Up"	"GO:0001941"	"postsynaptic membrane organization"	5	"5/179"	"54/18913"	9.78326091454583	0.000156009594403984	0.00544278472476899	"Cit, Farp1, Sorbs1, Dbn1, Shank3"
"BP"	"Unique in Hb - Up"	"GO:0003015"	"heart process"	10	"10/179"	"255/18913"	4.14349874027823	0.000163482752043823	0.00563309087597913	"Scn1a, Agtr2, Rgs4, Shox2, Adora1, Chrm3, Cacna1g, Cacna1c, Adra1b, Cacnb2"
"BP"	"Unique in Hb - Up"	"GO:0008016"	"regulation of heart contraction"	9	"9/179"	"208/18913"	4.57179308122046	0.000167552407288148	0.00570291181391734	"Agtr2, Rgs4, Shox2, Adora1, Chrm3, Cacna1g, Cacna1c, Adra1b, Cacnb2"
"BP"	"Unique in Hb - Up"	"GO:0099010"	"modification of postsynaptic structure"	5	"5/179"	"55/18913"	9.60538344337227	0.000170306458142026	0.00572681114065535	"Cttnbp2, Arhgap44, Kalrn, Prmt8, Dlgap3"
"BP"	"Unique in Hb - Up"	"GO:0099509"	"regulation of presynaptic cytosolic calcium ion concentration"	4	"4/179"	"30/18913"	14.087895716946	0.000175411237904258	0.00582824720227125	"Adora1, Tspoap1, Cacnb2, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0032956"	"regulation of actin cytoskeleton organization"	12	"12/179"	"362/18913"	3.50251550973795	0.000178623902830131	0.00586516838586936	"Cit, Arap2, Rapgef3, Rgs4, Dbn1, Shank3, Rock1, Arhgap44, Prkcd, Capn1, Synpo2, Cx3cl1"
"BP"	"Unique in Hb - Up"	"GO:0051924"	"regulation of calcium ion transport"	11	"11/179"	"310/18913"	3.74919805370337	0.000185524435700063	0.00602091511673111	"Rapgef3, Rgs4, Trpc3, Atp2b1, Bcl2, Cacna1g, Cacna1c, Cacnb2, Cx3cl1, Ptger3, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0015800"	"acidic amino acid transport"	6	"6/179"	"88/18913"	7.2040375825292	0.000188411100593158	0.00604431473282188	"Kcnj10, Grik1, Grm1, Adora1, Grm7, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0051963"	"regulation of synapse assembly"	9	"9/179"	"213/18913"	4.46447399480683	0.000200139634813535	0.00634761046323383	"Farp1, Slitrk6, Il1rapl1, Adgrb1, Lrrn1, Il1rap, Elmo1, Lingo2, Syndig1"
"BP"	"Unique in Hb - Up"	"GO:0010959"	"regulation of metal ion transport"	14	"14/179"	"482/18913"	3.06893993833886	0.000206579952241185	0.00645480693997547	"Rapgef3, Rgs7, Rgs4, Trpc3, Adora1, Atp2b1, Kcnip4, Bcl2, Cacna1g, Cacna1c, Cacnb2, Cx3cl1, Ptger3, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0006939"	"smooth muscle contraction"	7	"7/179"	"127/18913"	5.82373641842256	0.000208144974775275	0.00645480693997547	"Atp2b1, Chrm3, Cacna1g, Cacna1c, Adra2b, Irag1, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0003056"	"regulation of vascular associated smooth muscle contraction"	3	"3/179"	"13/18913"	24.3828964331758	0.000222349879762878	0.00674541863498036	"Atp2b1, Chrm3, Adra2b"
"BP"	"Unique in Hb - Up"	"GO:0086067"	"AV node cell to bundle of His cell communication"	3	"3/179"	"13/18913"	24.3828964331758	0.000222349879762878	0.00674541863498036	"Cacna1g, Cacna1c, Cacnb2"
"BP"	"Unique in Hb - Up"	"GO:0046717"	"acid secretion"	5	"5/179"	"59/18913"	8.95417100653347	0.000237731056567763	0.00713448794495299	"Grik1, Grm4, Ptger3, Cacnb4, Hrh3"
"BP"	"Unique in Hb - Up"	"GO:0007214"	"gamma-aminobutyric acid signaling pathway"	4	"4/179"	"33/18913"	12.8071779244964	0.0002561845263258	0.0076065001380352	"Cit, Gabra4, Gabrb2, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0031915"	"positive regulation of synaptic plasticity"	3	"3/179"	"14/18913"	22.6412609736632	0.000281023854857411	0.00825618504112668	"Dbn1, Unc13a, Adcy8"
"BP"	"Unique in Hb - Up"	"GO:0014829"	"vascular associated smooth muscle contraction"	4	"4/179"	"34/18913"	12.4304962208347	0.000288209930511003	0.00832389199633926	"Atp2b1, Chrm3, Cacna1g, Adra2b"
"BP"	"Unique in Hb - Up"	"GO:0033555"	"multicellular organismal response to stress"	7	"7/179"	"134/18913"	5.51951138163929	0.000289293272534901	0.00832389199633926	"Grik1, Npas2, Hdac5, Bcl2, Grm7, Shank3, Prkcg"
"BP"	"Unique in Hb - Up"	"GO:0016358"	"dendrite development"	11	"11/179"	"330/18913"	3.5219739292365	0.000317156519982838	0.00903248823747041	"Cit, Farp1, Il1rapl1, Prex2, Dbn1, Cdkl5, Dpysl5, Shank3, Arhgap44, Hecw1, Kalrn"
"BP"	"Unique in Hb - Up"	"GO:0019228"	"neuronal action potential"	5	"5/179"	"64/18913"	8.25462639664804	0.000348523732827808	0.00973484474013835	"Cacna1i, Kcnq3, Scn1a, Cacna1g, Kcnk4"
"BP"	"Unique in Hb - Up"	"GO:1905274"	"regulation of modification of postsynaptic actin cytoskeleton"	3	"3/179"	"15/18913"	21.131843575419	0.000348839346416618	0.00973484474013835	"Cttnbp2, Kalrn, Prmt8"
