"Ontology"	"DEGs_set"	"ID"	"Description"	"Count"	"GeneRatio"	"BgRatio"	"FoldEnrichment"	"pvalue"	"p.adjust"	"geneID"
"BP"	"Up"	"GO:0042773"	"ATP synthesis coupled electron transport"	28	"28/1690"	"57/12591"	3.65979445655559	8.98222458806005e-11	4.07493588811658e-08	"Snca, Uqcrq, Bdnf, Cox7b, Uqcr10, Ndufb6, Uqcrh, Cox6a1, Coq9, Cox7c, Cycs, Cox5a, Dld, Cox4i1, Ndufs3, Uqcrfs1, Rnf139, Cox7a2l2, Ndufv2, Cox5b, Ndufc2, Ndufa12, Cyc1, Ndufa8, Ndufa10l1, Sdhd, Cox7a2l, Ndufv1"
"BP"	"Up"	"GO:0042775"	"mitochondrial ATP synthesis coupled electron transport"	28	"28/1690"	"57/12591"	3.65979445655559	8.98222458806005e-11	4.07493588811658e-08	"Snca, Uqcrq, Bdnf, Cox7b, Uqcr10, Ndufb6, Uqcrh, Cox6a1, Coq9, Cox7c, Cycs, Cox5a, Dld, Cox4i1, Ndufs3, Uqcrfs1, Rnf139, Cox7a2l2, Ndufv2, Cox5b, Ndufc2, Ndufa12, Cyc1, Ndufa8, Ndufa10l1, Sdhd, Cox7a2l, Ndufv1"
"BP"	"Up"	"GO:0033108"	"mitochondrial respiratory chain complex assembly"	33	"33/1690"	"77/12591"	3.19298393913779	1.92247180237568e-10	8.05072037856401e-08	"Sdhaf3, Ndufb3, Ndufa2, Ndufb6, Sdhaf1, Ndufa5, Taco1, Ndufs5, Ndufs3, Uqcrfs1, Ttc19, Ndufb5, Ndufa1, Coa4, Dmac1, Chchd4, Ndufc1, Ndufb7, Ndufc2, Ndufa12, Ndufaf7, Ndufb4, Ndufaf4, Coa3, Tfam, Ndufa8, Ndufa10l1, Timm21, Tmem126b, Ndufa6, Tmem126a, Ndufaf3, Sco1"
"BP"	"Up"	"GO:0099003"	"vesicle-mediated transport in synapse"	83	"83/1690"	"312/12591"	1.98196973145198	2.82585360138814e-10	1.09885335756836e-07	"Snca, Calm1, Arpc3, Atp6ap2, Syngr3, Ppp3cb, Stx1a, Calm2, Atp6v1e1, Snap25, Pten, Atp6v0e2, Syp, Atp2a2, Amph, Atp6v1g2, Ap2s1, Pfn2, Tspan7, Sv2b, Syt17, Fmr1, Atp6v1b2, Snap29, Usp46, Npy1r, Atp6v0d1, Atp6v1d, Snap47, Sncb, Atp6v1c1, Dnm1l, Clstn1, Stxbp5l, Ap2m1, Stx7, Syt4, Napb, Rap1b, Nrxn1, Cdk5, Vps35, Vamp7, Slc17a7, Atp6ap1, Rab11a, Cltc, Septin5, Rab3a, Fbxo45, Clta, Atp6v1h, Pip5k1c, Mff, Rab5a, Necap1, Syt1, Sptbn2, Cdk5r1, Ncs1, Arf6, Atp6v1a, Atad1, Dnajc6, Dnajc5, Ap2b1, Ppfia3, Tmub1, Arc, Cd24, Actg1, Efr3a, Ap3m2, Dvl1, Capn2, Cplx3, Cadps, Ap3b2, Pls3, Susd4, Rab3gap1, Mapk10, Pik3c3"
"BP"	"Up"	"GO:0099504"	"synaptic vesicle cycle"	71	"71/1690"	"255/12591"	2.07439610163592	6.56134266689952e-10	2.38132996524007e-07	"Snca, Calm1, Arpc3, Atp6ap2, Syngr3, Ppp3cb, Stx1a, Calm2, Atp6v1e1, Snap25, Pten, Atp6v0e2, Syp, Atp2a2, Amph, Atp6v1g2, Ap2s1, Pfn2, Sv2b, Fmr1, Atp6v1b2, Snap29, Npy1r, Atp6v0d1, Atp6v1d, Snap47, Sncb, Atp6v1c1, Dnm1l, Stxbp5l, Ap2m1, Stx7, Syt4, Napb, Rap1b, Nrxn1, Cdk5, Vamp7, Slc17a7, Atp6ap1, Cltc, Septin5, Rab3a, Fbxo45, Clta, Atp6v1h, Pip5k1c, Mff, Rab5a, Syt1, Sptbn2, Cdk5r1, Ncs1, Arf6, Atp6v1a, Dnajc6, Dnajc5, Ap2b1, Ppfia3, Cd24, Actg1, Efr3a, Ap3m2, Dvl1, Capn2, Cplx3, Cadps, Ap3b2, Pls3, Rab3gap1, Pik3c3"
"BP"	"Up"	"GO:0072594"	"establishment of protein localization to organelle"	102	"102/1690"	"424/12591"	1.79228815451602	1.2707709553335e-09	4.32379817552225e-07	"Hspa5, Kpna4, Calm1, Cfl1, Vps13a, Sprn, Dnaja1, Calm2, Kpna1, Hspa8, Rab8b, Snx16, Srp9, Neurl1b, Tspan17, Tomm34, Xbp1, Hsp90ab1, Hsp90aa1, Sgtb, Ddit3, Akirin2, Vps37b, Chp1, Ptgs2, Cct6a, Ipo7, Srp19, Get1, Ran, Bap1, Golph3, Ubl5, Hspd1, Hikeshi, Mon1a, Prickle1, Bmal1, Vamp7, Tcp1, Ube2d3, Rab11a, Ppp2r2b, Hspa4, Atp5if1, Zfand6, Tomm40, Vps4a, Npepps, Ranbp2, Bnip3l, Mff, Chchd4, Ing1, Atf2, Spcs3, Tomm5, Fbxw7, Mapk1, Gcc2, Nabp2, Sumo1, Grpel1, Ywhaz, Pam16, Tomm22, Jak2, Phb2, Kpna3, Pex26, Sort1, Cabp1, Vps41, Tnpo3, Tomm7, Nutf2, Pex5, Ipo5, Bag4, Srp14, Nup58, Timm21, Ei24, Moap1, Golph3l, Pex10, Gdap1, Tmem126a, Ppp2ca, Timm17a, Gnptab, Usp9x, Akt1, Bcap31, Ssr3, Timm8a1, Sae1, Ufm1, Spcs2, Rab3gap1, Nup50, Tnpo2"
"BP"	"Up"	"GO:0022900"	"electron transport chain"	34	"34/1690"	"86/12591"	2.9454658043209	1.37099214757676e-09	4.39040073612229e-07	"Snca, Uqcrq, Bdnf, Ndufb3, Cox7b, Uqcr10, Ndufb6, Uqcrh, Ndufa5, Thap11, Cox6a1, Coq9, Cox7c, Cycs, Cox5a, Dld, Cox4i1, Ndufs3, Slc1a3, Uqcrfs1, Fdx2, Rnf139, Cox7a2l2, Pum2, Ndufv2, Cox5b, Ndufc2, Ndufa12, Cyc1, Ndufa8, Ndufa10l1, Sdhd, Cox7a2l, Ndufv1"
"BP"	"Up"	"GO:0015986"	"proton motive force-driven ATP synthesis"	16	"16/1690"	"24/12591"	4.96686390532544	2.63433052599851e-09	7.96738632418659e-07	"Atp5mc2, Atp5mg, Atp5me, Atp5mf, Atp5f1d, Atp5pd, Stoml2, Atp5po, Atp5pb, Atp5if1, Atp5mc3, Atp5pf, Atp6v1a, Sdhd, Atp5f1b, Taf3"
"BP"	"Up"	"GO:0022904"	"respiratory electron transport chain"	31	"31/1690"	"78/12591"	2.96101502048248	6.253137735136e-09	1.79168851737265e-06	"Snca, Uqcrq, Bdnf, Cox7b, Uqcr10, Ndufb6, Uqcrh, Ndufa5, Cox6a1, Coq9, Cox7c, Cycs, Cox5a, Dld, Cox4i1, Ndufs3, Slc1a3, Uqcrfs1, Rnf139, Cox7a2l2, Pum2, Ndufv2, Cox5b, Ndufc2, Ndufa12, Cyc1, Ndufa8, Ndufa10l1, Sdhd, Cox7a2l, Ndufv1"
"BP"	"Up"	"GO:0090150"	"establishment of protein localization to membrane"	66	"66/1690"	"245/12591"	2.00701847602947	1.11781004221192e-08	3.04267893490084e-06	"Hspa5, Calm1, Calm2, Snap25, Emc3, Rab8b, Srp9, Rab5if, Hsp90aa1, Sgtb, Gorasp2, Vps37b, Chp1, Hras, Srp19, Snap47, Actr3, Gorasp1, Atp2c1, Pak1, Clstn1, Get1, Golph3, Arl6, Chm, Arpc2, Cdk5, Vps35, Vamp7, Emc7, Emc6, Reep1, Atp6ap1, Rab11a, Hspa4, Tomm40, Prnp, Large1, Mff, Mmgt1, Clip1, Arl6ip1, Cacnb3, Emc2, Cdk5r1, Tomm22, Inpp5k, Atad1, Pex26, Pex5, Cd24, Zdhhc23, Srp14, Slc1a1, Rab26, Golga7b, Moap1, Golph3l, Tmem126a, Lyplal1, Gdi1, Ssr3, Rab3gap1, Lypla1, Mapk10, Get3"
"BP"	"Up"	"GO:0010257"	"NADH dehydrogenase complex assembly"	23	"23/1690"	"50/12591"	3.42713609467456	2.12529548765324e-08	5.25914028853829e-06	"Ndufb3, Ndufa2, Ndufb6, Ndufa5, Ndufs5, Ndufs3, Ndufb5, Ndufa1, Dmac1, Ndufc1, Ndufb7, Ndufc2, Ndufa12, Ndufaf7, Ndufb4, Ndufaf4, Ndufa8, Ndufa10l1, Timm21, Tmem126b, Ndufa6, Tmem126a, Ndufaf3"
"BP"	"Up"	"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	23	"23/1690"	"50/12591"	3.42713609467456	2.12529548765324e-08	5.25914028853829e-06	"Ndufb3, Ndufa2, Ndufb6, Ndufa5, Ndufs5, Ndufs3, Ndufb5, Ndufa1, Dmac1, Ndufc1, Ndufb7, Ndufc2, Ndufa12, Ndufaf7, Ndufb4, Ndufaf4, Ndufa8, Ndufa10l1, Timm21, Tmem126b, Ndufa6, Tmem126a, Ndufaf3"
"BP"	"Up"	"GO:0006605"	"protein targeting"	73	"73/1690"	"288/12591"	1.88844304733728	3.08735313764975e-08	7.30763064407184e-06	"Hspa5, Vps13a, Hspa8, Snx16, Srp9, Tomm34, Hsp90aa1, Sgtb, Vps37b, Chp1, Hras, Srp19, Actr3, Pak1, Get1, Bap1, Golph3, Ubl5, Hspd1, Chm, Arpc2, Mon1a, Cdk5, Vamp7, Ube2d3, Ppp2r2b, Hspa4, Atp5if1, Zfand6, Tomm40, Vps4a, Npepps, Prnp, Large1, Bnip3l, Nucb1, Mff, Chchd4, Arl6ip1, Cacnb3, Spcs3, Tomm5, Fbxw7, Gcc2, Cdk5r1, Grpel1, Ywhaz, Pam16, Tomm22, Inpp5k, Synj2bp, Sort1, Vps41, Tomm7, Pex5, Bag4, Zdhhc23, Srp14, Timm21, Slc1a1, Ap1s3, Golga7b, Golph3l, Gdap1, Timm17a, Gnptab, Rpl11, Bcap31, Gdi1, Ssr3, Timm8a1, Sae1, Spcs2"
"BP"	"Up"	"GO:0061077"	"chaperone-mediated protein folding"	25	"25/1690"	"59/12591"	3.15690502457126	4.0118399097187e-08	9.10019019521193e-06	"Hspa5, Chordc1, Fkbp4, Hspa8, Pdia4, Hsp90ab1, Dnajb1, Ppib, Cct6a, Sdf2l1, Sdf2, Hspe1, Ppid, Cct4, Ptges3, Tcp1, Cct3, Hsph1, Cct7, Fkbp11, Cct8, Dnajb5, Dnajc5, Dnajb6, RT1-DMa"
"BP"	"Up"	"GO:0009206"	"purine ribonucleoside triphosphate biosynthetic process"	24	"24/1690"	"56/12591"	3.19298393913779	5.74292883922138e-08	1.25058018402885e-05	"Atp5mc2, Atp5mg, Nme2, Atp5me, Atp5mf, Atp5f1d, Atp5pd, Eno1, Stoml2, Nme1, Atp5po, Atp5pb, Atp5if1, Atp5mc3, Atp5pf, Atp6v1a, Ndufc2, Lipa, Cox11, Sdhd, Atp5f1b, Taf3, Dmac2l, Nudt2"
"BP"	"Up"	"GO:0006754"	"ATP biosynthetic process"	22	"22/1690"	"49/12591"	3.34503079338244	7.41620570860531e-08	1.55283937990951e-05	"Atp5mc2, Atp5mg, Atp5me, Atp5mf, Atp5f1d, Atp5pd, Eno1, Stoml2, Atp5po, Atp5pb, Atp5if1, Atp5mc3, Atp5pf, Atp6v1a, Ndufc2, Lipa, Cox11, Sdhd, Atp5f1b, Taf3, Dmac2l, Nudt2"
"BP"	"Up"	"GO:0009145"	"purine nucleoside triphosphate biosynthetic process"	24	"24/1690"	"57/12591"	3.13696667704765	8.66536354566455e-08	1.74719404231844e-05	"Atp5mc2, Atp5mg, Nme2, Atp5me, Atp5mf, Atp5f1d, Atp5pd, Eno1, Stoml2, Nme1, Atp5po, Atp5pb, Atp5if1, Atp5mc3, Atp5pf, Atp6v1a, Ndufc2, Lipa, Cox11, Sdhd, Atp5f1b, Taf3, Dmac2l, Nudt2"
"BP"	"Up"	"GO:0097401"	"synaptic vesicle lumen acidification"	12	"12/1690"	"17/12591"	5.25903237034459	1.06140790675942e-07	2.06368023014225e-05	"Atp6ap2, Atp6v1e1, Atp6v0e2, Atp6v1g2, Atp6v1b2, Atp6v0d1, Atp6v1d, Atp6v1c1, Slc17a7, Atp6ap1, Atp6v1h, Atp6v1a"
"BP"	"Up"	"GO:0046034"	"ATP metabolic process"	46	"46/1690"	"161/12591"	2.12865595942519	2.94711042674017e-07	5.53243764247362e-05	"Atp5mc2, Aldoc, Hspa8, Pgam1, Atp5mg, Tpi1, Atp6v1b2, Atp5me, Atp5mf, Ola1, Atp5f1d, Dnm1l, Atp5pd, Uchl1, Eno1, Tigar, Stoml2, Bad, Pfkp, Atp5po, Foxk2, Atp5pb, Atp5if1, Atp5mc3, Ak5, Eif6, Gpi, Htr2a, Mif, Prkag2, Atp5pf, Atp6v1a, Ndufc2, Lipa, Pkm, Cox11, Sdhd, Gapdh, Ak4, Atp5f1b, Tpi1l2, Ppp2ca, Myh3, Taf3, Dmac2l, Nudt2"
"BP"	"Up"	"GO:0070585"	"protein localization to mitochondrion"	38	"38/1690"	"124/12591"	2.2831551822867	4.56874705114441e-07	8.29075298214339e-05	"Calm1, Dnaja1, Calm2, Tomm34, Hsp90aa1, Ddit3, Marchf5, Dnm1l, Bap1, Ubl5, Hspd1, Fkbp8, Ube2d3, Ppp2r2b, Hspa4, Atp5if1, Tomm40, Npepps, Bnip3l, Mff, Chchd4, Tomm5, Fbxw7, Grpel1, Ywhaz, Pam16, Tomm22, Tomm7, Bag4, Timm21, Moap1, Gdap1, Tmem126a, Timm17a, Akt1, Bcap31, Timm8a1, Sae1"
"BP"	"Up"	"GO:0009205"	"purine ribonucleoside triphosphate metabolic process"	49	"49/1690"	"179/12591"	2.03946646391855	5.07004875211954e-07	8.9036598085609e-05	"Atp5mc2, Aldoc, Hspa8, Pgam1, Atp5mg, Tpi1, Nme2, Atp6v1b2, Atp5me, Atp5mf, Ola1, Atp5f1d, Dnm1l, Atp5pd, Uchl1, Ran, Eno1, Tigar, Stoml2, Bad, Nme1, Pfkp, Atp5po, Foxk2, Atp5pb, Atp5if1, Atp5mc3, Ak5, Eif6, Gpi, Htr2a, Mif, Prkag2, Atp5pf, Atp6v1a, Ndufc2, Lipa, Pkm, Cox11, Sdhd, Gapdh, Ak4, Atp5f1b, Tpi1l2, Ppp2ca, Myh3, Taf3, Dmac2l, Nudt2"
"BP"	"Up"	"GO:0009201"	"ribonucleoside triphosphate biosynthetic process"	24	"24/1690"	"62/12591"	2.88398549341477	5.68614774894509e-07	9.67355885789283e-05	"Atp5mc2, Atp5mg, Nme2, Atp5me, Atp5mf, Atp5f1d, Atp5pd, Eno1, Stoml2, Nme1, Atp5po, Atp5pb, Atp5if1, Atp5mc3, Atp5pf, Atp6v1a, Ndufc2, Lipa, Cox11, Sdhd, Atp5f1b, Taf3, Dmac2l, Nudt2"
"BP"	"Up"	"GO:0042776"	"proton motive force-driven mitochondrial ATP synthesis"	12	"12/1690"	"19/12591"	4.70545001557147	6.65362497413482e-07	0.000109764649573303	"Atp5mg, Atp5me, Atp5mf, Atp5f1d, Atp5pd, Stoml2, Atp5po, Atp5pb, Atp5if1, Atp5pf, Sdhd, Atp5f1b"
"BP"	"Up"	"GO:0009144"	"purine nucleoside triphosphate metabolic process"	50	"50/1690"	"187/12591"	1.99205771603962	8.41285009830405e-07	0.000134704576279904	"Atp5mc2, Aldoc, Hspa8, Pgam1, Atp5mg, Tpi1, Nme2, Guk1, Atp6v1b2, Atp5me, Atp5mf, Ola1, Atp5f1d, Dnm1l, Atp5pd, Uchl1, Ran, Eno1, Tigar, Stoml2, Bad, Nme1, Pfkp, Atp5po, Foxk2, Atp5pb, Atp5if1, Atp5mc3, Ak5, Eif6, Gpi, Htr2a, Mif, Prkag2, Atp5pf, Atp6v1a, Ndufc2, Lipa, Pkm, Cox11, Sdhd, Gapdh, Ak4, Atp5f1b, Tpi1l2, Ppp2ca, Myh3, Taf3, Dmac2l, Nudt2"
"BP"	"Up"	"GO:0016050"	"vesicle organization"	72	"72/1690"	"307/12591"	1.74730065724804	9.87241647426445e-07	0.00015355838653113	"Snca, Rab29, Atp6ap2, Stx1a, Atp6v1e1, Samd9, Snap25, Arl8b, Plekha3, Atp6v0e2, Atp6v1g2, Chp1, Arf1, Atp6v1b2, Snap29, Tmed9, Atp6v0d1, Atp6v1d, Snap47, Atp6v1c1, Sdcbp, Rab1a, Vapa, Prkci, Mob4, Yipf5, Chmp5, Ap2m1, Stx7, Syt4, Golph3, Hook1, Snx11, Vamp7, Bloc1s4, Coro1a, Sec22b, Rab14, Snx3, Slc17a7, Atp6ap1, Rab11a, Klhl12, Rab3a, Chmp3, Vps4a, Snx10, Atp6v1h, Rab5a, Washc4, Syt1, Rab38, Sec23a, S100a10, Atp6v1a, Chmp6, Sort1, Vps41, Sar1b, Rab5c, Pafah1b1, Golph3l, Rab39a, Yipf4, Cplx3, Cadps, Agfg1, Rnasek, Preb, Stx12, Pik3c3, Aktip"
"BP"	"Up"	"GO:0009142"	"nucleoside triphosphate biosynthetic process"	25	"25/1690"	"68/12591"	2.73907935955447	1.03808996585385e-06	0.00015698227150301	"Atp5mc2, Atp5mg, Nme2, Atp5me, Atp5mf, Atp5f1d, Atp5pd, Eno1, Stoml2, Nme1, Atp5po, Atp5pb, Atp5if1, Atp5mc3, Atp5pf, Atp6v1a, Ndufc2, Lipa, Cox11, Sdhd, Ak4, Atp5f1b, Taf3, Dmac2l, Nudt2"
"BP"	"Up"	"GO:0006458"	"'de novo' protein folding"	19	"19/1690"	"44/12591"	3.21717321140398	1.20210695237043e-06	0.000176872168883909	"Hspa5, Hspa8, Dnajb1, Cct6a, Sdf2l1, Sdf2, Hspe1, Cct4, Selenof, Hspd1, Ptges3, Tcp1, Cct3, Hsph1, Cct7, Cct8, Chchd4, Dnajb5, RT1-DMa"
